company_code,news_id,sentiment_score,sentiment_level
DIS,81,0.000000,Neutral
MMM,82,0.279619,Somewhat-Bullish
GOOG,83,0.125127,Neutral
META,83,0.125127,Neutral
HON,83,-0.002003,Neutral
MMM,83,-0.002003,Neutral
PG,83,-0.002003,Neutral
GE,83,-0.002003,Neutral
WMT,83,-0.002003,Neutral
MMM,84,0.175536,Somewhat-Bullish
HON,84,0.351511,Bullish
UPS,85,0.022098,Neutral
FDX,85,0.021699,Neutral
MMM,85,0.004456,Neutral
MMM,86,0.030101,Neutral
HON,86,0.166435,Somewhat-Bullish
MMM,87,0.101908,Neutral
HON,87,0.152166,Somewhat-Bullish
MMM,88,-0.029346,Neutral
HON,88,0.192961,Somewhat-Bullish
AAPL,89,0.119696,Neutral
TSLA,89,0.360730,Bullish
GM,89,0.000000,Neutral
PG,89,-0.063962,Neutral
PEP,89,-0.063962,Neutral
MMM,89,0.217083,Somewhat-Bullish
STLD,89,0.179907,Somewhat-Bullish
MMM,90,0.126350,Neutral
HON,90,0.187969,Somewhat-Bullish
MDLZ,91,0.223449,Somewhat-Bullish
TSLA,91,0.102038,Neutral
CVX,91,-0.087439,Neutral
MCO,91,0.148986,Neutral
AXP,91,0.140865,Neutral
MMM,91,-0.010494,Neutral
AMZN,91,0.105903,Neutral
BMY,91,0.005254,Neutral
FE,91,0.223123,Somewhat-Bullish
MMM,92,0.142033,Neutral
MSFT,92,0.282542,Somewhat-Bullish
KMB,92,0.140724,Neutral
MMM,93,0.230921,Somewhat-Bullish
ISRG,93,0.026013,Neutral
ABBV,93,0.149496,Neutral
VZ,94,0.117000,Neutral
EQT,94,0.104000,Neutral
IVZ,94,0.221343,Somewhat-Bullish
MMM,94,0.117000,Neutral
TSLA,94,0.064016,Neutral
T,94,0.057240,Neutral
GEV,94,0.127001,Neutral
CMG,94,0.161007,Somewhat-Bullish
PM,94,0.080997,Neutral
STLD,94,0.060994,Neutral
TSLA,95,0.323317,Somewhat-Bullish
T,95,0.000000,Neutral
VZ,95,0.554386,Bullish
WBD,95,-0.350460,Bearish
GEV,95,0.000000,Neutral
MMM,95,0.554386,Bullish
PM,95,0.000000,Neutral
MMM,96,0.077294,Neutral
PNR,96,0.028686,Neutral
NOC,97,0.126683,Neutral
MMM,97,0.528030,Bullish
MMM,98,0.558152,Bullish
DHR,98,0.303285,Somewhat-Bullish
FSLR,98,0.023180,Neutral
DGX,98,0.379713,Bullish
PNR,98,0.000000,Neutral
EFX,98,0.295221,Somewhat-Bullish
IVZ,99,0.386429,Bullish
MMM,99,0.449495,Bullish
NVDA,100,-0.031549,Neutral
VZ,100,0.064761,Neutral
IVZ,100,0.138162,Neutral
MMM,100,0.075917,Neutral
MSFT,100,0.151150,Somewhat-Bullish
TSLA,100,0.028521,Neutral
SPGI,100,0.151150,Somewhat-Bullish
NFLX,101,0.236995,Somewhat-Bullish
NVDA,101,-0.053124,Neutral
TSLA,101,-0.059643,Neutral
VZ,101,0.000000,Neutral
WBD,101,-0.342365,Somewhat-Bearish
MMM,101,0.000000,Neutral
TSLA,102,0.489249,Bullish
MMM,102,0.071416,Neutral
VZ,102,0.517865,Bullish
MMM,103,0.109483,Neutral
C,103,0.000000,Neutral
MMM,104,-0.046424,Neutral
C,104,-0.069364,Neutral
MMM,105,0.029940,Neutral
HON,105,0.033924,Neutral
